time,sat,load
0,STARLINK-1294,5
0,STARLINK-2437,2
0,STARLINK-2626,2
0,STARLINK-2575,1
0,STARLINK-3701,2
0,STARLINK-4115,3
0,STARLINK-5163,0
0,STARLINK-6268,1
0,STARLINK-6186,0
0,STARLINK-30546,0
0,STARLINK-31701,1
0,STARLINK-31858,4
0,STARLINK-33947,2
0,STARLINK-34348,2
0,STARLINK-34235,1
0,STARLINK-34632,0
0,STARLINK-34662,2
0,STARLINK-34664,2
0,STARLINK-34675,2
0,STARLINK-34748,2
0,STARLINK-34757,0
0,STARLINK-34722,0
0,STARLINK-34676,1
0,STARLINK-34631,1
0,STARLINK-34570,1
1,STARLINK-2626,4
1,STARLINK-2575,5
1,STARLINK-3701,3
1,STARLINK-5163,3
1,STARLINK-6186,0
1,STARLINK-30546,2
1,STARLINK-31701,4
1,STARLINK-31858,4
1,STARLINK-34235,1
1,STARLINK-34646,2
1,STARLINK-34649,0
1,STARLINK-34660,1
1,STARLINK-34604,2
1,STARLINK-34620,2
1,STARLINK-34748,2
1,STARLINK-34676,1
1,STARLINK-34578,1
1,STARLINK-34690,0
2,STARLINK-2626,6
2,STARLINK-2575,5
2,STARLINK-3701,9
2,STARLINK-5163,3
2,STARLINK-5086,0
2,STARLINK-6186,0
2,STARLINK-6227,0
2,STARLINK-30546,3
2,STARLINK-31701,4
2,STARLINK-31858,5
2,STARLINK-33875,1
2,STARLINK-34697,0
2,STARLINK-34693,0
2,STARLINK-34608,0
2,STARLINK-34644,2
2,STARLINK-34685,2
2,STARLINK-34736,2
2,STARLINK-34682,1
2,STARLINK-34654,1
2,STARLINK-34628,0
3,STARLINK-1298,0
3,STARLINK-2626,6
3,STARLINK-2575,6
3,STARLINK-3701,6
3,STARLINK-5163,4
3,STARLINK-5086,1
3,STARLINK-6186,3
3,STARLINK-6227,0
3,STARLINK-30546,9
3,STARLINK-31858,4
3,STARLINK-31910,4
3,STARLINK-33875,4
3,STARLINK-34666,1
3,STARLINK-34567,2
3,STARLINK-34633,0
3,STARLINK-34624,1
3,STARLINK-34651,0
3,STARLINK-34544,1
4,STARLINK-1200,0
4,STARLINK-1966,2
4,STARLINK-2575,4
4,STARLINK-3775,1
4,STARLINK-5163,6
4,STARLINK-5086,8
4,STARLINK-6268,1
4,STARLINK-6186,8
4,STARLINK-6227,5
4,STARLINK-31910,9
4,STARLINK-32001,3
4,STARLINK-33875,8
4,STARLINK-34163,3
4,STARLINK-33924,2
4,STARLINK-34338,0
4,STARLINK-34604,2
4,STARLINK-34658,1
4,STARLINK-34675,2
4,STARLINK-34667,2
4,STARLINK-34684,2
5,STARLINK-1298,0
5,STARLINK-4158,5
5,STARLINK-5086,8
5,STARLINK-6186,8
5,STARLINK-5860,0
5,STARLINK-6227,7
5,STARLINK-30955,7
5,STARLINK-31353,8
5,STARLINK-31366,5
5,STARLINK-31910,7
5,STARLINK-32001,4
5,STARLINK-33875,6
5,STARLINK-34163,3
5,STARLINK-34209,2
5,STARLINK-34629,2
5,STARLINK-34632,0
5,STARLINK-34646,2
5,STARLINK-34641,1
5,STARLINK-34696,1
5,STARLINK-34644,2
5,STARLINK-34685,2
5,STARLINK-34668,0
5,STARLINK-34723,1
5,STARLINK-34706,0
5,STARLINK-34746,0
5,STARLINK-34683,1
6,STARLINK-4158,6
6,STARLINK-5086,5
6,STARLINK-5860,6
6,STARLINK-6227,7
6,STARLINK-30955,9
6,STARLINK-31353,9
6,STARLINK-31366,6
6,STARLINK-31684,3
6,STARLINK-31910,6
6,STARLINK-32001,4
6,STARLINK-33873,2
6,STARLINK-33875,9
6,STARLINK-33918,2
6,STARLINK-34165,0
6,STARLINK-34163,7
6,STARLINK-33926,0
6,STARLINK-34608,0
6,STARLINK-34669,2
6,STARLINK-34723,1
6,STARLINK-34706,0
6,STARLINK-34746,0
6,STARLINK-34722,0
6,STARLINK-34683,1
6,STARLINK-34570,1
6,STARLINK-34690,0
7,STARLINK-1306,1
7,STARLINK-4158,14
7,STARLINK-5860,10
7,STARLINK-30955,9
7,STARLINK-31353,2
7,STARLINK-31684,9
7,STARLINK-32001,11
7,STARLINK-33873,12
7,STARLINK-33918,10
7,STARLINK-34165,2
7,STARLINK-34163,8
7,STARLINK-34213,2
7,STARLINK-34693,0
7,STARLINK-34567,2
7,STARLINK-34662,2
7,STARLINK-34633,0
7,STARLINK-34667,2
7,STARLINK-34757,0
7,STARLINK-34564,0
7,STARLINK-34628,0
8,STARLINK-1200,0
8,STARLINK-1237,1
8,STARLINK-2437,5
8,STARLINK-4158,19
8,STARLINK-5860,10
8,STARLINK-31353,5
8,STARLINK-32001,11
8,STARLINK-33873,16
8,STARLINK-33918,19
8,STARLINK-34165,8
8,STARLINK-34163,5
8,STARLINK-34337,2
8,STARLINK-34235,1
8,STARLINK-34697,0
8,STARLINK-34666,1
8,STARLINK-34649,0
8,STARLINK-34660,1
8,STARLINK-34620,2
8,STARLINK-34696,1
8,STARLINK-34675,2
8,STARLINK-34644,2
8,STARLINK-34685,2
8,STARLINK-34725,2
8,STARLINK-34631,1
8,STARLINK-34654,1
9,STARLINK-2437,11
9,STARLINK-4158,16
9,STARLINK-33873,16
9,STARLINK-33918,25
9,STARLINK-34165,22
9,STARLINK-34160,8
9,STARLINK-34658,1
9,STARLINK-34624,1
9,STARLINK-34664,2
9,STARLINK-34608,0
9,STARLINK-34756,11
9,STARLINK-34578,1
9,STARLINK-34651,0
10,STARLINK-1298,0
10,STARLINK-33918,23
10,STARLINK-34165,26
10,STARLINK-34160,13
10,STARLINK-33924,7
10,STARLINK-34629,2
10,STARLINK-34668,0
10,STARLINK-34667,2
10,STARLINK-34709,32
10,STARLINK-34736,2
10,STARLINK-34756,11
10,STARLINK-34676,4
10,STARLINK-34684,2
11,STARLINK-1306,1
11,STARLINK-3775,1
11,STARLINK-4028,31
11,STARLINK-34165,18
11,STARLINK-34160,22
11,STARLINK-34209,2
11,STARLINK-34632,0
11,STARLINK-34567,3
11,STARLINK-34660,1
11,STARLINK-34696,1
11,STARLINK-34685,2
11,STARLINK-34709,32
11,STARLINK-34748,14
11,STARLINK-34575,7
12,STARLINK-1237,1
12,STARLINK-1966,13
12,STARLINK-4028,31
12,STARLINK-31678,11
12,STARLINK-32190,14
12,STARLINK-34160,19
12,STARLINK-34338,0
12,STARLINK-34337,2
12,STARLINK-34693,0
12,STARLINK-34646,2
12,STARLINK-34641,1
12,STARLINK-34633,0
12,STARLINK-34675,2
12,STARLINK-34668,0
12,STARLINK-34709,22
12,STARLINK-34748,14
12,STARLINK-34722,0
12,STARLINK-34683,1
12,STARLINK-34570,1
12,STARLINK-34628,0
13,STARLINK-1200,0
13,STARLINK-1966,13
13,STARLINK-4028,24
13,STARLINK-6268,1
13,STARLINK-31678,12
13,STARLINK-31744,16
13,STARLINK-32190,27
13,STARLINK-34160,20
13,STARLINK-33926,0
13,STARLINK-34697,0
13,STARLINK-34666,1
13,STARLINK-34658,1
13,STARLINK-34664,2
13,STARLINK-34608,0
13,STARLINK-34757,2
13,STARLINK-34682,1
13,STARLINK-34654,1
14,STARLINK-30906,21
14,STARLINK-31744,16
14,STARLINK-32190,26
14,STARLINK-33717,14
14,STARLINK-34314,0
14,STARLINK-34662,2
14,STARLINK-34604,2
14,STARLINK-34624,7
14,STARLINK-34696,1
14,STARLINK-34685,2
14,STARLINK-34723,25
15,STARLINK-30906,20
15,STARLINK-31457,9
15,STARLINK-32190,20
15,STARLINK-33717,19
15,STARLINK-34345,19
15,STARLINK-34567,2
15,STARLINK-34649,0
15,STARLINK-34620,2
15,STARLINK-34723,25
15,STARLINK-34651,0
15,STARLINK-34684,4
16,STARLINK-1237,1
16,STARLINK-6116,13
16,STARLINK-5950,12
16,STARLINK-30906,13
16,STARLINK-31457,12
16,STARLINK-31771,9
16,STARLINK-33717,15
16,STARLINK-34345,27
16,STARLINK-34235,1
16,STARLINK-34629,4
16,STARLINK-34632,0
16,STARLINK-34646,2
16,STARLINK-34633,0
16,STARLINK-34675,2
